iter	Passed	Remaining
0	14	3676
1	24	3047
2	40	3374
3	49	3047
4	64	3183
5	82	3335
6	94	3279
7	113	3423
8	120	3217
9	137	3291
10	143	3111
11	159	3154
12	176	3214
13	193	3265
14	214	3355
15	230	3374
16	245	3371
17	265	3426
18	282	3438
19	298	3433
20	316	3447
21	336	3483
22	347	3429
23	365	3442
24	382	3442
25	399	3442
26	416	3443
27	435	3449
28	457	3482
29	474	3480
30	494	3492
31	508	3460
32	527	3466
33	548	3485
34	566	3481
35	579	3442
36	589	3393
37	605	3380
38	616	3338
39	636	3339
40	647	3299
41	660	3272
42	669	3221
43	690	3232
44	714	3256
45	735	3259
46	755	3262
47	771	3245
48	789	3238
49	808	3233
50	827	3230
51	849	3234
52	868	3229
53	880	3197
54	899	3190
55	922	3194
56	931	3154
57	950	3145
58	967	3131
59	986	3123
60	1002	3104
61	1017	3085
62	1037	3079
63	1056	3069
64	1079	3073
65	1110	3095
66	1141	3117
67	1161	3109
68	1183	3103
69	1207	3104
70	1228	3097
71	1245	3079
72	1275	3093
73	1295	3080
74	1322	3086
75	1350	3091
76	1375	3090
77	1397	3080
78	1417	3068
79	1436	3052
80	1456	3039
81	1480	3034
82	1499	3018
83	1523	3011
84	1558	3024
85	1578	3010
86	1607	3010
87	1628	2997
88	1656	2996
89	1689	3003
90	1719	3004
91	1750	3006
92	1776	2998
93	1798	2985
94	1814	2960
95	1836	2946
96	1854	2925
97	1872	2903
98	1892	2887
99	1916	2874
100	1938	2860
101	1956	2839
102	1972	2815
103	1990	2793
104	2008	2774
105	2027	2754
106	2045	2734
107	2062	2711
108	2081	2691
109	2102	2675
110	2119	2654
111	2138	2635
112	2160	2619
113	2180	2601
114	2201	2584
115	2216	2560
116	2233	2538
117	2250	2517
118	2267	2496
119	2282	2472
120	2304	2457
121	2320	2434
122	2347	2423
123	2365	2403
124	2385	2385
125	2403	2365
126	2422	2345
127	2442	2327
128	2459	2306
129	2473	2282
130	2490	2262
131	2512	2246
132	2532	2227
133	2553	2210
134	2573	2192
135	2597	2177
136	2616	2158
137	2635	2138
138	2651	2117
139	2669	2097
140	2686	2076
141	2706	2058
142	2727	2040
143	2748	2022
144	2767	2003
145	2788	1986
146	2806	1966
147	2824	1946
148	2843	1927
149	2860	1906
150	2876	1885
151	2895	1866
152	2917	1849
153	2939	1832
154	2960	1814
155	2978	1794
156	2996	1775
157	3019	1758
158	3043	1742
159	3061	1721
160	3080	1702
161	3101	1684
162	3119	1665
163	3142	1648
164	3162	1629
165	3182	1610
166	3205	1593
167	3228	1575
168	3247	1556
169	3265	1536
170	3287	1518
171	3305	1499
172	3325	1480
173	3348	1462
174	3371	1444
175	3392	1426
176	3415	1408
177	3437	1390
178	3456	1371
179	3474	1351
180	3492	1331
181	3511	1311
182	3532	1293
183	3555	1275
184	3575	1256
185	3597	1237
186	3620	1219
187	3639	1200
188	3659	1181
189	3676	1161
190	3695	1141
191	3713	1121
192	3733	1102
193	3752	1083
194	3772	1064
195	3793	1045
196	3813	1026
197	3827	1005
198	3849	986
199	3865	966
200	3886	947
201	3904	927
202	3922	908
203	3939	888
204	3962	869
205	3982	850
206	4003	831
207	4025	812
208	4045	793
209	4062	773
210	4079	754
211	4098	734
212	4116	715
213	4136	695
214	4156	676
215	4175	657
216	4197	638
217	4218	619
218	4240	600
219	4263	581
220	4281	561
221	4297	542
222	4311	522
223	4331	502
224	4348	483
225	4367	463
226	4390	444
227	4412	425
228	4432	406
229	4454	387
230	4475	368
231	4495	348
232	4513	329
233	4530	309
234	4548	290
235	4564	270
236	4584	251
237	4604	232
238	4624	212
239	4645	193
240	4665	174
241	4686	154
242	4706	135
243	4725	116
244	4744	96
245	4765	77
246	4783	58
247	4803	38
248	4826	19
249	4847	0
